בטאון,כתב עת
בטל בששים,חסר חשיבות
דברים בטלים,דברים חסרי חשיבות
בטן רכה,נקודת התורפה
בטנה,בד המצפה בגד
ביאה,פרוזדור/יחסי מין
ביב,תעלה ביוב
ביבר,גן חיות
ביגמיה,נישואים לשתי נשים
ביון,ריגול
ביזארי,מוזר וחריג
ביזה,שלל שנשדד
ביזור,פיזור
ביכר,העדיף
בילטרלי,דו צדדי/דו משמעתי
בין המיצרים,בין הפטיש לסדן
בין הערבים,שעות הדימדומים
בין השיטין,בין השורות
בינארי,אחד ואפס
ביעות,אימה
ביעף,במהירות(חלק בי עף)
ביקש על נפשו,התחנן לרחמים
בדרך על המוגמר,סיים את מה שהוא התחיל בהצלחה
בירנית,מבצר/ביצור
ביש,רע(כמו ביש מזל-מזל רע)
בישוף,דרגת כמורה גבוהה
בית בד,במקום שמכינים שמן
בית גנזים,ארכיון
בית הלל,אלה שמקלים על הדין
בית מטבחים,משחטה/כינוי למצב בו נשפך דם רב
