בן לילה,מהר מאוד
בן נעות המרדות,סוג של קללה
בן תשחורת,נער
בנלי,נדוש
בנפשו הדבר,הדבר הזה ממש יקר וחשוב לו
בְּעִדָנָא דְּרִתְחָא,בשעת כעס
ביעור,השמדה(כמו ביעור חמץ)
בעטי,בגלל
בעינים כלות,בקוצר רוח
בעל אוב,מכשף שמעלה נשמות של מתים
בעל אף,רגזן
בעל בעמיו,מכובד
בעל גוף,שמן/מגושם
בעל כרחו,נגד רצונו/הכריחו אותו
בעליל,בבירור
בעצלתים,באיטיות מרובה (בעצלנות)
בער,אידיוט/בור/חסר השכלה
בַעֲרֹב ימיו,בסוף ימיו
בערה חמתו,התעצבן מאוד
בעתה,פחד/בעלה/כמו מבועת
בפובי/בפרהסיה/ברי גלי,בגלוי מול כולם.
בצדיה,בכוונה רעה
ביצורים,מבנים שנועדו להגהנ מפני אויב
בצוותא,ביחד
בציר,קטיף ענבים
בָּצַע,חתך
בֶּצַע כֶּסֶף,חמדנות
בצר לו,בגלל שהוא במצוקה/בבאסה (בצרה לו)
בקיע,סדק
בקק,החריב
