גפיר,שומר/נוטר/שוטר
גץ,ניצוץ שביב אש
גרגרן,אדם להוט אחר שתייה ואכילה
גרדום,במת מטבח 
גרוגרת,תאנה מיובשת
גרוז,שימון בחומר סיכה
גרוסטקה,תיאור שיש בו הבלטה יתרה,עד כדי הגזמה
גרום,בעל עצמות בולטות
נטוי גרון/בגרון נטוי,התרברבות,השתחצנות
גרופית,ענף מעץ זית או שקמה
גרופית של שקמה,כינוי לאדם שמוצאו מפשוט העם
גרידא,בלבד/אך ורק
גרילה,לוחמה זעירה של צבא לא סדיר נגד צבא סדיר
גרם,עצם/השלד/גוף/חומר בעל צתורה ונפח הנמצא בחלל
חמור גרם,כיוני גנאי לאדם העומל קשה, אך בטיפשוט
גרמופון,פטיפון עתיק
גריסא דינקותא,כל הידע שרכש אדם בילדות, בדרך כלל משהו שקשה לשנות בבנאדם
גרעון,חוסר/הפחתה/הפסד
גרף ערמונים מן האש,עשה מלאכה קשה ומסוכנת
גרופת,טין חלוקי אבנים וצרורות שהמים גרפו בזרימתם
אגב גררא, מתוך המשך הדברים/לא במיוחד/אגב אורחא
גרש,תבואה/פרי יבול
גשוש,מוט ארוך/שהספן היה מודד בו את העומק במים
גשמי ברכה,גשם היורד בעתו ובשפע
גשמי,חומרי/גופני/פיזי
גשמיות,חומריות/גופניות ההפך מרוחניות
קושפנקה,קבלת אישור לדבר
גת,בור חצוב בסלע שדורכים בו ענבים ליין
