כִּילַי,קמצן
כיסן,בצק ממולא
כישור,מוט שנכרכים עליו חוטי הצמר
כל אימת ש,בכל פעם ש
כל הפוסל במומו פוסל,מי שמוצא פגמים באחרים, מוצא גם אצלו
כלאחר יד,כבדרך אגב, בחוסר תשומת לב
כּלה,1.רשת מלמלה להגנת המיטה מפני יתושים,2.סיים
כלונָס,קורה דקה וארוכה
כִּלְחוך השור,השכם בבוקר
כְּלָיָה,אבדון, השמדה
כליון עיניים,השתוקקות
כלימה,בושה
כָּמַה,השתוקק
כמי שכפאו שד,הכריחו אותו
כמש,נבל, קמל, התייבש
כמישכת מכחול,ביצוע משימה בבת אחת
כַּן,יסוד, בסיס
כסומא בארובה,במקרה, בחוסר ידיעה בדבר
כִסופים, ערגה,געגועים,השתוקקות
כסיות,כפפות
כֵּסֶל,תקווה
כּסֶמֶת,מין של חיטה
כסת,כרית, שק מלא נוצות, פוך
כּעכּוּע,שיעול קל
כִּפֵּח,אדם גבוה במיוחד
כפיס,פיסת עץ
כפיר,אריה צעיר וחזק
