חוצב להבות אש,מדבר בהתלהבות ומלהיב את שומעיו
חוֹר,אדם נכבד, אציל
חוּר,סוג של אריג מובחר
חוּרשף,ארטישוק
חושק שפתיים,שתקן
חָזָה מבשרו,נוכח מנסיונו שלו
חזון נפרץ,תופעה נפוצה
חזיז,1.אלומת אש,ברק מלווה רעם,3.מטען נפץ
חזיז ורעם,לעזאזל!, לכל הרוחות!
חֶזקה,אחיזה, תפיסה, בעלות
חזר לסורו,שב למעשיו הרעים
חִזר על הפתחים,קיבץ נדבות
חִזרן,במבוק
חח,נזם
חט,1.שיני הפיל, 2.מכשיר לעשיית חריצים
חטוטרת,גיבנת, דבשת
חטטים,כתמים או צלקות על עור הפנים
חוטר,1.ענף, מקל, אלה,2.צאצא
חייו תלויים מנגד,הוא נתון לסכנה
חיוני,מלא חיים ורעננות
חיל,חשש, פחד, חת, מגור, מורא
חילה את פניו,התחנן לרחמים
חַיְשָן,הססן
חכלילי,אדמדם
חלב ודמי,עיקר ומיטב כוחותיי
חֶלֶד,ימיו של האדם על האדמה
חלוט,1.שיצקו עליו מים רותחים,2.מנוי וגמור, מסוכם בהחלט
חִלוּט,עיקול רכוש
