גלום,מקופל/מעטף
גלוסקמה,תיבת אבן/היו שומרים בה במימי קדם את עצמות המתים
גלופה,לוח שפותחו עליו צורות שונות או אותיות להדפסה
כאורך הגלות,הנמשך הרבה בלי סוף ובלי תכלית
גליד,קרח/מים
גלמוד,בודד/עזוב
גלעד,מצבת זיכרון
גלעין,גרעין/גרעין קשה
גילשון,כמו דאון
גמא,שתה ובלע
גמא ארץ,דהר מהר/כבולע מרחקים
גימום,קיצוץ הקצה העליון של ענפי העץ
גמל חסד,עשה טובה למשהו
גמל שפורח באויר,דבר שקר
גימלה,פנסיה/סבא שלי הבגמלאות
גמלוני,גדול/ארוך
גמר אומר,החליט-גמר בדעתו
גמר בדעתו,חשב ובא לידי החלטה
ברך על המוגמר,סוף סוף סיים משהו שהתחיל
גמרן,אדם קיצוני בדעותיו
גונדה,יחידה צבאית/גדוד/פלוגה
גנוז,נסתר/חבוי
גנזך,אוצר/מוזיאון/ארכיון ממשלתי
גס מוח,מטומטם
גס רוח,יהיר/חוצפן
ג'סטה,תנועה/פעולה או צעד הנעשים לרושם בלבד
גפים,ידיים רגליים רק רגליים
בגפו, לבדו/יחידי
גפה,החלק העליון של הנעל,אליו שוזרים את השרוך
גפיים,ידיים ורגליים
