בְּקֵרוּב,בערך
בר,נקי/פראי/חוץ/אפשרי/תבואה/בן
בר אורין,אדם משכיל
בר בי רב,תלמיד
בר לבב,אדם ישר עם לב נקי
בר מינן,מת
בר-סמכא,מומחה לתחום
בר פלוגתא,יריב
בר קימא,יציב
אין תוכו כברו,אדם צבוע
בראש מעיניו,בראש סדר העדיפויות שלו
ברבות הימים,אחרי שעבר זמן
ברדס,כובע מחובר למעיל
ברוא,כריתת יער
ברוד,מנוקד
ברוטלי,גס/פראי
ברומו של עולם,דברים חשובים
ברי,ברור
בריה,יצור בעל חיים
בריח,מנעול
בריקדה,מחסום
ברך על המוגמר,סיים בהצלחה את מה שהוא התחיל
ברכה לבטלה,עבודה לריק
ברם,אולם/אבל
ברנש,בן-אדם
בורסקאי,מעבד עורות
ברקן,קוץ
בשוגג,בטעות
בשופי,בנחת/בסבבה
בשן ועין,בנזק כבד
בת צחוק,חיוך צחקוק
בת קול,הד
בַתָּוֶךְ,באמצע
בתה,שדה מוזנח ושומם
