בלתי נדלה,שאינו נגמר/בלי סוף
במזיד,בכוונה
במחי יד,במכה אחת
במטותא,בבקשה
בלדר,שליח
בלהה,פחד/אימה
בלואים,בגדים ישנים
בלום,סתם/מלא/גדוש
בלטריסטיקה,ספרות יפה
בלימה,חסר בסיס
בליסטרא,מכשיר שזורק אבנים
בלן,עובדד בית מרחץ
בלע,מרמה/רשע
דברי בלע,דברים רעים
בלשון סגי נהור,בציניות
בלתי אמצעי,בלי מתווך
במישרין,באופן גלוי
במפגיע,באופן תקיף
במצח נחושה,באומץ/בחוצפה
במשורה,בכמות קטנה
במתק שפתיים,בדיבור מתחנחן,בהתנחמדות כדי להשיג משהו
בן בליעל,רשע/מנוול
בן חורין,אדם חופשי
בן טיפוחו,מי שנמצא תחת טיפוח והשגחה של מישהו
בן יומו,תינוק שרק נולד
בן כלאים,צמח או בעל חיים המעורב מכמה גזעים
