טחו עיניו מראות,לא ראה את הדבר לאמיתו
טַחוּת,אטימות/ סתימה
טחן קמח טחון/מים, דש בדבר נדוש
טַחֲרָן,כינוי גנאי למי שעושה את עבודתו בהתאמצות רבה/ כבד תנועה וכבד עשייה, כאילו הוא מנסה לעשות את צרכיו אבל יש לו טחורים
טֶט - אַ-טֶט,פנים אל פנים/בארבע עיניים,טט זה ראש בצרפתית
טיוב,השבחה
טין,עפר דמוי טיט הנוצר בנחלים
טיר,יישוב ארעי
טירן,שליט אכזר
טכס עצה,ביקש עצה, התייעץ
טלית שכולה תכלת,כינוי לאדם או דבר אין בו פגם
טלף,פרסות של בעלי חיים, החלק הקרני בקצה רגליהם
טלול,רענן
טמיר,נשגב, מסתורי, סודי
טמן ידו בצלחת,ישב בחוסר מעש
טמפו,קצב
טמפורלי,זמני, ארעי
טס,מגש
טעם לפגם,משהו פסול, צד שלילי
טענו חיטים וענה לו בשעורים,ענה תשובה לא רלוונטית
טיפה בים,דבר אפסי, מועט
טפח,רוחב כף היד - מידה מקראית
טפח על פניו,הוכיח את טעותו
