דיש,דרכית שיבולי התבואה
דך,מדוכא,אני מדוכדך דך
עד דכא,עד כניעה מוחלטת,דכא זה דכאון עד דכא האחרונה
דוכי,קול התנפצות הגלים הגדולים,טוכי שעושה קולות של גלים גדולים מתנפציםד
דל,אביון
דלגית,חבל קפיצה
דַּלַּת הָעָם,המון העם/המעמד החברתי הנמוך והדל
דלוח,עכור/לא צלול,דג מלוח הוא חיי במים לא צלולים
הלך החבל אחר הדלי,הטפל נגרר אחרי העיקר
דליה,שאיבת מים,דליה תביאי מים
דלית,ענף של גפן
דלעיל,ככתוב למעלה
דלפון,אביון/דל,דל-פון מי שאין לו טלפון
דלק,רדף אחרי משהו
דם כחול,כינוי מלגלג למי שמתגאה במוצאו מגזע אצילים
איש דמים,רוצח
דמו מראשו,הוא עצמו אשם במותו/יישא אחריות למעשיו
עמד על דם רעהו,ראה את חברו נתון בסכנה ולא עשה דבר
דמגוג,מנהיג המשלהב את ההמונים בכוח נאומו ודבריו
דמדומי חמה,זמן המעבר בין היום לילה
דמדמנית,צימוק
דימה בנפשו,דימה בדעתו/העלה על דעתו/הרהור
דמה,דמות המשמשת להטעייה או לאימונים
דמוגרפיה,סטטיסטיקה העוסקת בהרכבי האוכלוסייה ותנועתיהם
דימון,שטן/שד
דמוני,שטני
דמונסטריציה,הצגה של רעיון
דמי,שקט דממה
בדמי ימיו,באמצע חייו
בדמי הליל,בדממת הלילה
דמיות,דימיון/מצב שהו שני דברים דומים זה לזה
דמים,מחיר/עלות/כסף
דמי "לא יחרץ",שוחד,המוות שלי זה לא סופי יש עוד סיכוי!!
דמי קדימה,מקדמה
דמי שתייה,טיפ/דמי טרחה
