גְזֵרָה שָוָה, אנגלויה/היקש/השוואה בין שני עניינים הדומים זה לזה
גָּחוֹן,בטן הזוחלים
גָּחוּן,כפוף מעל משהו 
כיבה את גחלתו,השמיד ולא השאיר אף שריד
גחמה,עיקשות/קפריזה
גיא,ערוץ אפיק
גיא צלמות,כינוי למקום חושך ואבדון
גאולוגיה,תורת הארץ
כפה עליו הר כגיגית,הכריח אותו/אילץ אותו
בכל רמ"ח איבריו,בכל גופו ונפשו
גיחה,זינוק/התפרצות
גיחור,בעל עור/פנים ושיער אדומים
גילדה,איגוד של סוחרים
גיליוטינה,גרדום
גינונים,הליכות/נימוסים
גיס/גייסות,גדוד צבא/לגיון
גיס חמישי,כינוי לחיל מרגלים ומחבלים
גיסא,צד/עבר
מחד גיסא,מצד אחד
מאידך גיסא,מצד שני/לעומת זאת
גיפתן,גאותן/יהיר
גל,ערמה של דברים שונים/תל ערמת מפלת
על גַלֵי הָאֶתֶר,באמצעות גלי הרדיו
גלב,ספר/אומן העוסק בגילוח ובתספורת
גלגל חוזר בעולם,החיים מלאים חליפות ותמורות
גלגל חמישי בעגלה,משל למישהו מיותר
גילה את אזנו,גילה לו דבר סוד
גילה טפח וכיסה טפחים,גלה רק משהו מן הדבר/ברמז
גילה את ליבו,סיפר את סודותיו
גילה פנים,הלבין פנים
