חאן,מקום חניה, אכסניה, פונדק דרכים
חָבוט,נדוש
חבוטים,התלבטויות, ייסורים
חבוץ,עשיית חמאה מחלב/שמנת בבחישה
חבוש,כלוא
חביצה,פודינג
חבל,1.אזור, 2.ייסורים, 3.קבוצה
חבלי לידה,צירי לידה
חבלי משיח,הצרות שיבואו לעולם קודם ביאת המשיח
חבר מרעיו,חוברת ידידיו
חברבורה,קטע מנומר
חִברות,סוציאליזציה
חג,הסתובב, סב
חָגָו,סדק נדקיק, חריץ
חִגר,צולע
חגר שק,התאבל
חד ערכיות,קיום משמעת אחת לעצם או רעיון
חדגוני,משעמם
חִדוד,שנינה,הלצה
חדל אישים,אדם פחות ערך
חִדָלון,כליה, אבדון
חדשות לבקרים,בכל פעם ופעם מחדש
חוג,עיגול, מעגל
חָוָק,שלב בסולם, מדרגה
חוט השערה,משל לדבר קטן
חוט השני,יסוד קיים ורצוף
חומץ בן ייו,רשע בן צדיק
חונטה,כת צבאית
