חִלוּל,ביזוי
חלומות באסמפיה,שאיפות שאין להם שחר
חלחולת,פי הטבעת
חלכאי,עלוב,דל,מסכן
חַלָף,סכין לשחיטה, מאכלת
חלק הארי,הרב
חלקת הלשון,דברי חנופה
חלקת שפתיים,דברי חנופה
חָלַש על,משל על, שלט
חמוק,התעגלות, כפיפה, קמור
חָמַס,גנב, גזל
חמת,שק עור, נאד
חמתו בערה בו להשחית,כעס מאוד
חנוָני,בעל חנות, סוחר
חסר נעורים,ידידות והאהבה משכבר הימים
חסר פניות,אובייקטיבי
חסר שחר,חסר ביסוס,שאין לו יסוד
חף,נקי
חפָה,כיסה
חפוי ראש,מבויש
חָפַן,אחז, מילא את כף ידו
חפיר,תעלה הנחפרת מסביב למבנה על מנת להגן עליו
חצה את הרוביקון,ביצע פעולה גורלית אין ממנה חזרה
ח'צֶן,שולי הבגד
חָרֵב,1.הרוס ועזוב, 2.יבש
חרב דמוקלס,חוסר ביטחון של אנשים בעלי כוח רב, הנובע מהפחד שכוח זה יילקח
חרב פיפיות,חרב מלוטשת משני צצדיה
חרול,קוץ
