סִיזִיפִי,עבודת פרך/ עבודה מיגעת שאין עימה ברכה ותכלית,ע"ש סיזיפוס מהמיתולוגיה היוונית שקיבל עונש מהאלים לסחוב כל יום סלע במעלה האולימפוס וכל לילה נדרדר הסלע בחזרה למרגלות ההר
סִילוּאֶט,צללית
סִימְבְּיוֹזָה,חיים משותפים של שני יצורים שונים המפיקים תועלת משיתוף זה
סִינוֹפְּסִיס,סיכום תמציתי ומרוכז של מאמרים שונים
סִינְכְרוֹנִי,אהדדי/ המתרחש בעת ובעונה אחת,לא כמו הילד של קינדר
סינרגיה,גם להקה זייפנית/ וגם מצב בו השלם גדול יותר מסך חלקיו/ כששני אנשים עובדים ביחד אז ההספק שלהם גדול יותר מאשר שניהם בנפרד
סִינְתֶּזָה,איחוד יסודות נפרדים לחטיבה אחת
סַיָּס,מטפל בסוסים/ כמו מוסכניק של סוסים
סֵיסְמוֹגְרָף,מכשיר הרושם באופן אוטומטי את תנועות האדמה ורעשיה
סִיעָה,חבורה/ קבוצה/ כנופייה/ פלג
סִירָה,בנוסף: החלק הלבן מסביב לעין/ לחמית,"אני אכבה לך סיגריה בסירה של העין!" (ערס פואטי)
סָכוּףְ,מדוכא/ מעונה
סְכִירָה,סתימה/ סגירה,מלשון סכר
סָכָל, כסיל/ איול/ שוטה/ חסר-דעת ושכל/ טיפש
סִכְסָךְ,זיג-זג
סְלִיק,מחבוא/ מסתור לנשק או לדברים אסורים אחרים
סַמְבַּטְיוֹן,מערבולת/ מקום מהומה וערבוביה (שם של נהר אגדי)
סָמוֹבָר,מֵחַם/ מתקן לחימום מים
סָמוּי,בנוסף: עיוור/ סומא/ סגי נהור
סָמוּךְ, •משענת/ מסעד •סמוך ובטוח- ממש בטוח	
סָמוּר,זקוף ונוקשה (כמסמר)  
סֶמַנְטִיקָה,המשמע והמובן של מילים בודדות/ פירושן המדוייק
סְמַרְמֹרֶת,צמרמורת
סְנוֹקֶרֶת,נוגרה/ מכת אגרוף
סַנְוֵרִים, •עיוורון/ סימוי פתאומי •הסתנוורות מאור (מכה אותי בסנוורים)
סנט,הקניט/ עצבן
