מפוחון,אקורדיון
מפורכס,מאופר/צבוע
מַפַּח נֶפֶשׁ,אכזבה מרה/ייאוש
מְפֻכָּח (מפוכח), •פיכח/שפג יינו/לא שיכור •מציאותי/מחוסר אשליות
מִפְלָשׁ, •פסאג'/מעבר מקורה בין שני רחובות •מנהרה/דרך מפולשת,מפולש- פתוח משני צדדיו (שאפשר לפלוש אליו משני הצדדים)
מְפֻסְטָר,מחוטא ומעוקר/ע"י חימום,על שם לואי פסטר, שגילה את החיידקים ובזכותו בתי החולים היום דואגים לגהות
מִפְעָם ,קצב, טמפו
מַפְרִיס,מַפְרִיס פַּרְסָה/חיה בעלת פרסה	
לְמַפְרֵעַ,רטרואקטיבית/לאחור/לעבר/מראש/למה שעתיד לבוא
מִפְרָעָה,פריעת (תשלום) חלק מחוב
מְפֻרְקָד,שוכב פרקדן/שוכב על גבו
מִפְתָּן,סף הדלת
מַצְבִּיא,מנהיג צבאי/מפקד  
מְצָדָה,מבצר/מקום מבוצר בראש הר או סלע
מִצְהָר,מנשר/מניפסט (מהמילה להצהיר)
מְצוֹדֵד, •מושך את הלב/שובה-נפש/יפה •תומך במישהו (לוקח צד) •מזיז מצד לצד (כמו הזזה של קנה של טנק)
מָצוֹד, •עריכת ציד על חיות או על בני אדם חשודים •מלכודת/מכמונת/פח •מצודה/ מבצר
הִגִּיעַ לְמִצְווֹת,הגיע לגיל 13
מְצוּלָה,מים עמוקים/עומק (ידוע יותר ברבים- מצולות)
עַזּוּת מֵצַח,חוצפה רבה או עקשנות
מצלצלים,כינוי למטבעות
מַצְנֵם/מַקְלֶה,טוסטר
מֻצְנָע (מוצנע),מוחבא/מוסווה
לְמִצְעָר,לפחות/לכל הפחות,מִצְעָר  - דבר מועט, דבר קטן, כמות קטנה
מֵצַר (מיצר), •מקום צר •יבשה צרה בין שני ימים המחברת שתי יבשות (מיצר גיברלטר)
מֶצֶר,גבול/סייג	
בין המצרים,בצרה/במועקה/במצב ללא מוצא/בין הפטיש לסדן/במיטת סדום
