ללִחֵךְ (אֶת) עֲפַר רַגְלָיו,נכנע לפני פלוני/התרפס לפניו,ליקק את העפר שנמצא על רגליו
מְלַחֵךְ פִּנְכָּה,חנפן/מתרפס,פנכה=צלחת, כך שהמשמעות המילולית היא מלקק צלחות
לִחְלוּחַ, •הפיכת דבר יבש לרטוב/הרטבה •לחות/רטיבות  
לֶחֶם סְתָרִים יִנְעַם,מים גנובים ימתקו/מה שאסור יותר נעים יותר	
לֶחֶם צָר וּמַיִם לָחַץ,מזון מצומצם מאוד המספיק רק לקיום הבסיסי
שָׁבַר אֶת מַטֶּה לַחְמוֹ,פגע בפרנסתו/הביאו לידי עוני
לַחְמִית,החלק הלבן שבעין
לָטִיפוּנְדְּיָה,כברת ארץ/נחלה גדולה/אחוזה נרחבת	
לִיבִּידוֹ,יצר המין/אביונה/כיסופי-החמדה,
לִיבְּרָה,יחידת מידה של משקל/פאונד/לִיטְרָה	
לִיזָה/לזות,לעז/שם-רע/דיבה  
לִיטְרָה,יחידת משקל/פאונד/ליברה	
לֵיל שִׁמּוּרִים, •ליל זיכרון לדורי דורות •לילה לבן/לילה ללא שינה,כל הלילה שמרנו
אִישׁוֹן   לַיְלָה,חצות הלילה/חשכת הלילה,האישון גדל כאשר יש חושך בלילה
לִינְגְּוִיסְטִיקָה,תורת הלשון/בלשנות
לִיף,סיב/חוט דק בצמח או נימה דקה בבשר
לִירִיקָה,השתפכות הנפש/הבעת רגשות וחוויות
לַיִשׁ,אריה,"...היש צוהלת ושמחה כמוני מסכה. חה, חה! קרנים לי, קרני התיש, שיניים לי, שיני הליש..."
לֵית מָאן דִּפְלִיג / דְּפָלִיג,אין מי שחולק על כך/כולם מסכימים
לִמֵּד זְכוּת/סָנֵגוֹרְיָה עַל (מישהו),צידד בזכותו/טען כי הוא זכאי
לְמוֹתָר,לא הכרחי/נוסף •מיותר לציין ש...
לְמַכְבִּיר,הרבה מאוד/בשפע,למשביר יש הרבה מאוד דברים, יש ב..
לְמַפְרֵעַ, •לאחור/לשעבר/על פי מה שהיה קודם לכן •מראש/על מה שעתיד לבוא/אפריורית
לְמִצְעָר,לפחות/לכל הפחות
לְמִשְׁעִי,באופן נקי מאוד
