הדביק,השיג/רדף/תפס,תמשיך אני ידביק אותך
הדביר,השמיד
הדום,כסא קטן לרגליים
הדוניזם,נהנתנות רדיפת תענוגות,אני אדון לעצמי אני אוהב להנות מהחיים
הידוס,דשדוש/מין הליכה עם צליעה
הדחה,סילוק של משהו מתפקידו/ניסיון לגרום למשהו לעשות משהו רע
הדיוט,חסר ידע בתחום מסויים
הדיר,מנע/עיכב/הרחיק
הדיר רגליו,נמנע מלבקר או לשהות במקום מסויים
הדיר שינה מעיניו,הדאיג אותו מאוד/מנע ממנו לישון
הדיר את מנוחתו,הפריע לו
הדמיה,סימולציה/מצב המדמה את המציאות
הדיף,הפיץ ריח
הדרן,קטע נוסף שנותן אמר לאחר סוף ההופעה
ההר הוליד עכבר,כל ההמולה נגמרה בלא כלום
ההין,העז/הרהיב עוז,שתה יין וזה גם לו
הוי אומר,מכאן ברור ש
הוכיח,הטיף מוסר/נזף
הלך בתלם,התנהג לפי הנורמות
הלך הזרזיר אצל העורב,אדם נמשך למי שדומה לו-בדר"כ במשמעות שלילית
הוליך שולל,הטעה רימה
הלך על קרח/חבל דק,נמצא במצב מסוכן
הומוגני,אחיד,הומו
הומני,אנושי/מתחשב,היינו בהאיטי ונתנו עזרה הומניטרית
הון תועפות,מוכטה של כסף
הונאה,רמאות/מרמה
הוצא מהקשרו,שלא ניתן להבין דבר כראוי כי הוא הוצא מההקשר בו הוא נאמר
הוציא בשבילו את הערמונים מן האש,עשה בשבילו את העבודה השחורה והקשה
הוציא דיבה,דיבר רעות על משהו/הכפיש את שמו
הוקיע,גינה/מתח ביקורת
הוריזונטלי,אופקי/מצד לצד
הותק,הוזז ממקומו, הועתק כמו בהארי פוטר
הותרו חרצובות לשונו,התחיל לדבר,חרצובות=שרשראות
