ייקוב הדין את ההר,בדיוק כנאמר בחוק היבש, בלי רחמים
ילדי רוח,מחשבות
ימה,מערבה
יערה,חלת דבש
יפעה,יופי
יצא בשן ועין,יצא מהעניין בנזקים רבים
יצא המרצע מן השק,הדבר התגלה
יצא הפסדו בשכורו,העסק השתלם
יצא חוצץ,יצא דרוך ומוכן
יצא שכרו בהפסדו,העסק לא השתלם
יצאה נפשו אל,ערג, התגעגע
יצהר,שמן זך
יצול,המוט אליו נקשרת הבהמה במשיכת העגלה
יקד,בער
יקוש,לכוד
יראה,פחד
ירד אל בור/שחת, מת
ירד לטמיון,אבד, הסתיים בכישלון
ירד לסוף דעתו,הבין את כוונתו
יש דברים בגו, יש טעם וסיבה לדבר
יש לאל ידו,יש בכוחו, יש ביכולתו
יש לי חפץ,ברצוני
יש רגלים לדבר,יש לדבר בסיס ומתקבל על הדעת
ישב על המדוכה,התלבט בפתרון הבעיה, טרח וטיפל רבות בעניין
יש תחת גפנו ותחת תאנתו,חי חיים שלווים
ישימון,מדבר, שממה
ישר את ההדורים,חיסל סכסוכים וחיכוכים, שיפר את היחסים
יַתוּשו של טיטוס,מחשבה טורדנית שאינה נותנת מנוח
יתר,חבל
