בית מרזח,פאב
בית נכות,מוזאון
בית נתיבות,אולם נוסעים,תחנת רכבת או שדה תעופה
בית עבוט,מקום בו ממשכנים חפצים
בית שמאי,אלה שנוטים להחמיר בדין
בית תמחוי,מקום האכלה של נזקקים
ביתוק,קריעה לחלקים
ביתור,גזירה לחלקים
ביתר שאת,בעוצמה יתרה
בכדי,לשווא
בכבד ראש,ברצינות
בכי תמרורים,בכי מר
בכיה לדורות,אסון
בכליון עניין,בציפייה
בכפיפה אחת,ביחד בצוותא
בכר,גמל צעיר
בלאט,בשקט
בלב ולב,בחוסר כנות/במרמה
בלדר,שליח
בלהה,פחד/אימה/סיוט
בלואים,בגדים ישנים וקרועים
בלטריסטיקה,ספרות יפה
בלימה,כלום/אפס/חסר בסיס
בליסטרא,מכשיר שזורק אבנים
בלן,עובד בית מרחץ
בלע,מרמה/רשע
דברי בלע,דברים רעים
פן יבולע לו,אזהרה שמשהו יכול להסב נזק/דיר באלק
בלשון סגי נהור,דיבר בציניות
בלתי אמצעי,בלי מתווך באופן ישיר
