הורתו ולידתו,המקור של רעיון מסויים
הזדין,התחמש ב-/הצטייד ב-
הזדין בסבלנות,אזר סבלנות
הזדככות,הטהרות,מים זכים-מים נקיים
היזון חוזר,משוב/פידבק
הזחה,הזזה,TAB
הזין,האכיל
הזיע,הזיז/המיש
היזליף,טפטף/שפך קילוח דק של נוזל,מזלף
הזם,הוכיח שמשהו שקרי/הפריך/סתר
הזרה,הרחקה,זאת ההעזרה אחרונה שלך אחרת אתה מקבל הזרה
החזיק טובה,הכיר תודה
החזיק טובה לעצמו,התייהר התרברב
החזיר עטרה לשינה,השיב משהו לגדולתו מימים עברו
החלה,ישום
החיש,זריז
החיש פעמיו,הזדרז/הלך מהר לאנשהו
החכיר,השכיר
החמיץ פנים,עשה פרצוף חמוץ/התבאס על משהו
החצין,הפנה כלפי חוץ
החרה החזיק אחריו,הצטרף לדבריו/עזר לו
החריש,שתק
החשה,שתק
הטיח,זרק/הטיח עליו את הספר
הטיל/זרה חול בעיני הברית,הטעה את הציבור
הטלת איפול,החשכה/איסור פרסום של פרטים בפרשה
הטמעה,קליטה והספגות במשהו
הטעים,שם דגש
הטרוגני,לא אחיד/שלא עם בני מינו
היא הנותנת,זו ההוכחה
היבריד,בן כלאיים
היבריס,חרא הגאווה,חטא ההיבריס
הידוס,דישדוש
