אין לו דמים,אין לו מחיר/לא יסולא בפז
דמנציה,ליקוי נשכלי מחמת גיל מבוגר,דפורמציה של מבוגרים
דמעות גיל,בכי על שמחה
דמעות תנין,בכי מזויף
בדמעות שליש,בדמעות ותחנונים רבים
דנא,זה
מקדמת דנא,מלפני הזמן הזה
דנדון,צילצול
דנן,זה
דסטרוקטיבי,הרסני
דספוט,דיקטטור
דסקריפטיבי,תיאור
תמים,שלם/מלא
תמים דעים,מסכים/בדעה אחת עם כווולם
דעת הבריות,בדעות המקובלות בציבור
אומד בדעת,השערה
בדיחות הדעת,עליזות
גילוי דעת,הודעה בעניין מסויים
גנבת דעת,הונאה/רמאות
זחוח דעת, יהיר/גאוותן
לעניות דעתי,לפי דעתי/גם אם היא ענייה ואינה דעה מוסכמת
דעתו ארוכה,הוא מיושב בדעתו/שוקל כל דבר ברצינות
דעתו מפולגת,הוא מפוזר מאוד/אני יכול להתרכז
דעתו נוחה,הוא מרוצה מ...
דעתו עכורה,הוא מדוכא/נבוך
אבד עצמו לדעת,התאבד/שם קץ לחייו
אין הדעת סובלתו,אינו מתקבל על הדעת
ירד לסוף דעתו,הבין בבירור את פשר דבריו של אדם כלשהו
הניח את דעתו,הרגיע אותו
מניח את הדעה,מקובל לשביעות הרצון
נטלטלה דעתו,התבלבל מאוד
קצה דעתו,הוא מאס בו/נמאס לו מ
דעתן,איש אשכולות/בעל ידיעות רבות/משכיל
דפון,סמוך לקיר,משהו מעצבן שקוראים לו דפון אז מעמידים אותו ליד הקיר
דפורמציה,עיוות
