בדק בציציותיו,בחן אותו לפרטי פרטים
בהול,דחוף מאוד
בהמה גסה,כינוי לאדם בהמתי
בהרות קיץ,נמשים
בהסח הדעת,מבלי לשים לב
בוחן כליות ולב,היודע את מה שנסתר מהעין
בולבוס,התקף רעב חזק
בומבסטי,מפוצץ
בונה פידה,באמת ומתמים
בוסר,משהו לא בשל
בוסתן,גן של עצי פרי
בוצית,סירה למים רדודים
בוקה ומבוקה ומבולקה,בתוהו ובוהו/בבלאגן נורא
בוקי סריקי,שטויות במיץ
בּוּר,אדם חסר השכלה בכלל
בור סוד שאינו מאבד טיפה,כינוי לאדם עם זכרון של פיל
בור שומן,מכרה זהב
על בוריו,לעומקו
בורית,סבון
בושש,איחר לבוא
בזיך,קערה קטנה
בזעיר אנפין,בקנה מידע קטן
בזק,מהר מאוד
בחדרי חדרים,בסודיות
בחובו,בתוכו
בחטף,במהירות
בחל,נגעל ממשהו
בחרוק שנים,במאמץ רב
בחצי פה,לא בלב שלם
בחרות,נעורים
